"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc25a5",0.00104200023382712,0.101858713485879,0.956,0.923,1,"EPO_responsive","Slc25a5"
"Foxn2",0.00106232803860381,0.128395468881448,0.18,0.118,1,"EPO_responsive","Foxn2"
"Ipo7",0.00110805655748264,0.157750338279919,0.367,0.285,1,"EPO_responsive","Ipo7"
"mt-Co3",0.00119252292630678,0.0620016904357676,1,1,1,"EPO_responsive","mt-Co3"
"Atp5l",0.00127271905301762,0.0895643972635281,0.991,0.979,1,"EPO_responsive","Atp5l"
"Cox5b",0.00131324835958402,0.109297269094748,0.956,0.906,1,"EPO_responsive","Cox5b"
"Pop5",0.00131504005971715,0.144919711108826,0.579,0.493,1,"EPO_responsive","Pop5"
"Eif1ad",0.00133029027062103,0.160985274105589,0.611,0.528,1,"EPO_responsive","Eif1ad"
"Fen1",0.00133251834945574,0.160889720895265,0.405,0.321,1,"EPO_responsive","Fen1"
"Uqcrq",0.00133494894525566,0.126396100771259,0.892,0.846,1,"EPO_responsive","Uqcrq"
"Atpif1",0.00133626763116487,0.0919336361491929,0.991,0.984,1,"EPO_responsive","Atpif1"
"Psma7",0.00134355140645442,0.130932347365265,0.915,0.871,1,"EPO_responsive","Psma7"
"Bzw2",0.00137483395666933,0.150981238226342,0.519,0.428,1,"EPO_responsive","Bzw2"
"Sptssa",0.00139819028478359,0.108749780495204,0.889,0.83,1,"EPO_responsive","Sptssa"
"Yaf2",0.00146962504108424,0.143184316063156,0.538,0.444,1,"EPO_responsive","Yaf2"
"Aars",0.00152615055386682,0.163880720890011,0.563,0.477,1,"EPO_responsive","Aars"
"Bag1",0.00155157763031451,0.114608286463423,0.832,0.755,1,"EPO_responsive","Bag1"
"Gemin6",0.00155227652412168,0.160004636354011,0.266,0.198,1,"EPO_responsive","Gemin6"
"Thoc7",0.00156554095708441,0.153965380573205,0.788,0.744,1,"EPO_responsive","Thoc7"
"Pin1",0.00157074553147614,0.136383560410733,0.595,0.513,1,"EPO_responsive","Pin1"
"Tram2",0.00161490392730685,0.10597936419675,0.142,0.076,1,"EPO_responsive","Tram2"
"Hspe1",0.00164490702972689,0.106048083998618,0.962,0.932,1,"EPO_responsive","Hspe1"
"Trip13",0.00170087486073768,0.116108142054246,0.168,0.111,1,"EPO_responsive","Trip13"
"Mecr",0.00171107097947317,0.152554236952349,0.165,0.118,1,"EPO_responsive","Mecr"
"Nop56",0.00171647428049213,0.164357353495721,0.722,0.642,1,"EPO_responsive","Nop56"
"Bend4",0.0017626372937656,0.148971672841098,0.237,0.176,1,"EPO_responsive","Bend4"
"Hddc2",0.00178094718744054,0.14626079741763,0.358,0.27,1,"EPO_responsive","Hddc2"
"Polr1d",0.00181352696066417,0.120182143719704,0.886,0.835,1,"EPO_responsive","Polr1d"
"Mad2l1",0.00188709426316113,0.156127425389557,0.351,0.284,1,"EPO_responsive","Mad2l1"
"Serf1",0.00195499894022122,0.122931385243766,0.63,0.541,1,"EPO_responsive","Serf1"
"Dnaja1",0.00197789506941169,0.1205196044978,0.813,0.741,1,"EPO_responsive","Dnaja1"
"Etfa",0.00202118884479991,0.144954241849784,0.481,0.391,1,"EPO_responsive","Etfa"
"Snrpa1",0.00203721980291621,0.152208143415958,0.598,0.504,1,"EPO_responsive","Snrpa1"
"Nipsnap3b",0.00205752048233727,0.129741999320844,0.415,0.324,1,"EPO_responsive","Nipsnap3b"
"Naa50",0.00207610092051537,0.137528173088627,0.642,0.56,1,"EPO_responsive","Naa50"
"Nxt1",0.0020808380288712,0.150732333313048,0.598,0.521,1,"EPO_responsive","Nxt1"
"Arpp19",0.00208287216846947,0.159669231027066,0.848,0.83,1,"EPO_responsive","Arpp19"
"Ddost",0.00222832048604081,0.147670452732089,0.639,0.556,1,"EPO_responsive","Ddost"
"Dscc1",0.0022994140289711,0.119842646278539,0.206,0.135,1,"EPO_responsive","Dscc1"
"Pfdn6",0.00236958669576426,0.157557934670094,0.655,0.581,1,"EPO_responsive","Pfdn6"
"Banf1",0.00242542749679952,0.149253049643832,0.778,0.731,1,"EPO_responsive","Banf1"
"Gsk3b",0.00243866591843766,0.121428876306049,0.671,0.585,1,"EPO_responsive","Gsk3b"
"H2afv",0.00248152745149077,0.106704007487867,0.902,0.858,1,"EPO_responsive","H2afv"
"Dusp3",0.00248532287435038,0.143936208285305,0.269,0.188,1,"EPO_responsive","Dusp3"
"Nrm",0.00249823213208207,0.165617672823516,0.415,0.333,1,"EPO_responsive","Nrm"
"Gpx4",0.00255648544737552,0.0939943448681522,0.981,0.956,1,"EPO_responsive","Gpx4"
"Ndufa11",0.00264131080015374,0.126605558583613,0.747,0.671,1,"EPO_responsive","Ndufa11"
"Slmo2",0.00273910250180138,0.129255715066505,0.446,0.353,1,"EPO_responsive","Slmo2"
"Haus1",0.00276582338976647,0.131429146448236,0.31,0.237,1,"EPO_responsive","Haus1"
"Lsm5",0.00284802706029168,0.158568167249556,0.81,0.774,1,"EPO_responsive","Lsm5"
"Coa3",0.00288457561123395,0.151839668622951,0.696,0.618,1,"EPO_responsive","Coa3"
"Nans",0.00288577909560483,0.148045383245642,0.443,0.384,1,"EPO_responsive","Nans"
"Zbtb44",0.00293182418628288,0.123245102667857,0.234,0.161,1,"EPO_responsive","Zbtb44"
"Serf2",0.00294633601118762,0.0749441750415518,0.991,0.995,1,"EPO_responsive","Serf2"
"Acp1",0.00300150655179526,0.130353867831998,0.62,0.542,1,"EPO_responsive","Acp1"
"Tmx1",0.00308026106056257,0.122535483529204,0.421,0.328,1,"EPO_responsive","Tmx1"
"Rap1a",0.00309002406905943,0.129724918487347,0.687,0.615,1,"EPO_responsive","Rap1a"
"Cdca4",0.00310989763606313,0.142687075436276,0.304,0.241,1,"EPO_responsive","Cdca4"
"Dna2",0.00313774391789502,0.137933412335448,0.212,0.158,1,"EPO_responsive","Dna2"
"Ybx1",0.00320324201835211,0.0667422040356116,0.994,0.985,1,"EPO_responsive","Ybx1"
"Cenpi",0.00325439570606581,0.0777097368842762,0.111,0.062,1,"EPO_responsive","Cenpi"
"Alkbh2",0.0032547203661703,0.119155994370368,0.117,0.067,1,"EPO_responsive","Alkbh2"
"Prc1",0.0032599980546307,0.146334730320228,0.272,0.2,1,"EPO_responsive","Prc1"
"Atp5g2",0.00329626958828655,0.0829735279448367,0.987,0.979,1,"EPO_responsive","Atp5g2"
"Lsm12",0.00330672632107216,0.14904357554512,0.465,0.387,1,"EPO_responsive","Lsm12"
"Ado",0.00330960405968158,0.145677602791102,0.367,0.284,1,"EPO_responsive","Ado"
"Phb",0.00333483636733981,0.122603282847835,0.532,0.443,1,"EPO_responsive","Phb"
"Gins3",0.00335951793941539,0.0907705045881435,0.12,0.067,1,"EPO_responsive","Gins3"
