"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ctla2b",0.0105175086890816,0.0782330643076716,0.634,0.588,1,"Control","Ctla2b"
"Raver1",0.0105258760121147,0.058371997795549,0.33,0.29,1,"Control","Raver1"
"Ccar1",0.010569147515576,0.0637909161625603,0.379,0.333,1,"Control","Ccar1"
"Rtn4",0.0106509054785366,0.0596359984497061,0.557,0.505,1,"Control","Rtn4"
"Ttpal",0.0106601170792461,0.0513235688554401,0.112,0.087,1,"Control","Ttpal"
"Slco4a1",0.0106685773515922,0.0529778194824719,0.274,0.225,1,"Control","Slco4a1"
"Zfp507",0.0106968971031685,0.0544076241787401,0.111,0.083,1,"Control","Zfp507"
"Nono",0.0106977570684952,0.0544538898031166,0.751,0.714,1,"Control","Nono"
"Msl2",0.0107400404051023,0.069676500050653,0.23,0.191,1,"Control","Msl2"
"Akap10",0.0107529991750926,0.0599823699123449,0.221,0.182,1,"Control","Akap10"
"Mettl7a1",0.0107590342506951,0.0622014585688132,0.293,0.245,1,"Control","Mettl7a1"
"Nol4l",0.0107656561156578,0.0609574712532929,0.133,0.103,1,"Control","Nol4l"
"Usp5",0.0107666432216733,0.0569834397387258,0.256,0.214,1,"Control","Usp5"
"Slfn8",0.0107901871518661,0.0524934851102993,0.106,0.08,1,"Control","Slfn8"
"Tmcc1",0.0108160680422634,0.0540227203568981,0.179,0.141,1,"Control","Tmcc1"
"Klk8",0.0108235070321188,0.0590061178065638,0.453,0.402,1,"Control","Klk8"
"Ptgr2",0.0108457507663524,0.0541877675609393,0.231,0.187,1,"Control","Ptgr2"
"Usp19",0.0108881544995439,0.0565408111236572,0.27,0.229,1,"Control","Usp19"
"Mettl5",0.0109652650154377,0.0626566798648073,0.366,0.323,1,"Control","Mettl5"
"Pag1",0.0110217258018935,0.0625453009838045,0.202,0.167,1,"Control","Pag1"
"Idh3b",0.0111105492162846,0.0613065788597502,0.502,0.453,1,"Control","Idh3b"
"Atm",0.0111211094842515,0.0673131608029867,0.316,0.275,1,"Control","Atm"
"Wdr70",0.0111754924133914,0.0567314812969681,0.171,0.134,1,"Control","Wdr70"
"U2af2",0.0111830496969498,0.0667081367920653,0.476,0.439,1,"Control","U2af2"
"Agfg2",0.0113812450198249,0.050009187828204,0.167,0.127,1,"Control","Agfg2"
"Snn",0.0114336808599751,0.0605697544454533,0.19,0.153,1,"Control","Snn"
"Crk",0.0114569072892818,0.0671574783347309,0.289,0.25,1,"Control","Crk"
"Il16",0.0114792031644281,0.0549252126896357,0.242,0.2,1,"Control","Il16"
"Map1lc3b",0.0115335197407681,0.0522485557175905,0.838,0.808,1,"Control","Map1lc3b"
"Kctd10",0.0115369762421623,0.0523730033055118,0.283,0.237,1,"Control","Kctd10"
"Ccz1",0.0115724200103178,0.0551156631730931,0.46,0.41,1,"Control","Ccz1"
"Pdlim7",0.0115895121355791,0.0647262056619776,0.199,0.167,1,"Control","Pdlim7"
"Sec14l1",0.0116387244728152,0.0562345727831447,0.157,0.125,1,"Control","Sec14l1"
"Polr2b",0.0116600586615953,0.0583241291885203,0.212,0.177,1,"Control","Polr2b"
"Emc7",0.0116639942071081,0.0528350207043962,0.482,0.429,1,"Control","Emc7"
"Txndc15",0.0117387449056677,0.0679691621960761,0.326,0.288,1,"Control","Txndc15"
"Ppp1r37",0.0118353436291048,0.0510453961022909,0.118,0.09,1,"Control","Ppp1r37"
"Irf2bpl",0.0118666982265375,0.066446475983494,0.191,0.156,1,"Control","Irf2bpl"
"Polr3gl",0.0119119272944533,0.0607826125992778,0.393,0.34,1,"Control","Polr3gl"
"Kif5b",0.0119637882046681,0.061376476569921,0.595,0.548,1,"Control","Kif5b"
"Gsdmd",0.0119822150047238,0.0583352279448202,0.174,0.14,1,"Control","Gsdmd"
"Arf1",0.011986097520484,0.0529867666432333,0.797,0.763,1,"Control","Arf1"
"Abhd17a",0.0120571919604757,0.0529693716033746,0.465,0.41,1,"Control","Abhd17a"
"Rab8a",0.0120965377382944,0.0605600673609931,0.421,0.376,1,"Control","Rab8a"
"Herc2",0.012129971508717,0.065610356220835,0.215,0.182,1,"Control","Herc2"
