"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cyfip1",1.31080290041906e-05,0.107982683808431,0.29,0.223,0.142956164319703,"Control","Cyfip1"
"Rbm39",1.34322765114151e-05,0.0697644179036589,0.969,0.948,0.146492407633493,"Control","Rbm39"
"Mboat7",1.38953439748883e-05,0.0983335040289615,0.251,0.184,0.151542621390132,"Control","Mboat7"
"Lig1",1.40700267202787e-05,0.157205792096107,0.549,0.499,0.153447711411359,"Control","Lig1"
"Tpp1",1.42758682981319e-05,0.108326920165743,0.285,0.214,0.155692619659426,"Control","Tpp1"
"Eif3j2",1.4362330634974e-05,0.0873270936544648,0.133,0.082,0.156635577905027,"Control","Eif3j2"
"Chd3",1.47397836142911e-05,0.11136887612526,0.322,0.244,0.160752080097459,"Control","Chd3"
"Aldoa",1.54708609314035e-05,0.105400028326714,0.923,0.905,0.168725209317887,"Control","Aldoa"
"Hlf",1.67935006710522e-05,0.140574773712928,0.644,0.582,0.183149918318496,"Control","Hlf"
"Tnks2",1.70003737075105e-05,0.103607726757302,0.243,0.177,0.185406075654109,"Control","Tnks2"
"Gcnt2",1.7332034405078e-05,0.100123788387638,0.574,0.497,0.18902316722178,"Control","Gcnt2"
"Susd6",1.77056119178946e-05,0.0918473673758233,0.165,0.106,0.193097403576559,"Control","Susd6"
"Ssbp3",1.81341703459395e-05,0.0949049045948576,0.345,0.267,0.197771261792817,"Control","Ssbp3"
"Bckdha",1.82670078974531e-05,0.0948132132278454,0.223,0.154,0.199219988129624,"Control","Bckdha"
"Cnot3",1.85087097077915e-05,0.11485777600638,0.411,0.337,0.201855988073175,"Control","Cnot3"
"Rnf220",1.88355447523501e-05,0.111062191332992,0.396,0.325,0.20542045106913,"Control","Rnf220"
"Ik",1.90197632389182e-05,0.0848442507516654,0.472,0.384,0.207429537883642,"Control","Ik"
"Tars2",1.97058941604505e-05,0.0928283524698825,0.194,0.139,0.214912481713874,"Control","Tars2"
"Ppp2ca",1.99578577016094e-05,0.108348869013528,0.478,0.403,0.217660396093752,"Control","Ppp2ca"
"Dok2",1.99806174282666e-05,0.100855962545013,0.234,0.168,0.217908613672675,"Control","Dok2"
"Sptan1",2.02747481947373e-05,0.0979469673225828,0.226,0.163,0.221116403811805,"Control","Sptan1"
"Capns1",2.06450949656441e-05,0.0981392371768277,0.738,0.682,0.225155405695315,"Control","Capns1"
"Itpkb",2.12750949008758e-05,0.101923321505633,0.183,0.128,0.232026184988951,"Control","Itpkb"
"Ddx5",2.21490587602454e-05,0.0770447439271296,0.95,0.928,0.241557634839237,"Control","Ddx5"
"Adgrl4",2.29674045732427e-05,0.125625735187826,0.677,0.615,0.250482514275784,"Control","Adgrl4"
"Kdm5a",2.31428297225724e-05,0.108987326701048,0.346,0.277,0.252395700954374,"Control","Kdm5a"
"Pbxip1",2.34401763360637e-05,0.0878869477274496,0.168,0.108,0.25563856312111,"Control","Pbxip1"
"Arhgef2",2.38894596790594e-05,0.106594874069784,0.533,0.459,0.260538447259822,"Control","Arhgef2"
"Tgtp2",2.40051497590468e-05,0.0951733644254478,0.104,0.062,0.261800163272165,"Control","Tgtp2"
