Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,Etv1,,Clec4n,,Adcyap1,Sec24d,Kbtbd11,Hist1h2bj,Pik3r1,Hnrnpl,Phf20l1,,Cdc6,Hmgb2,Tubgcp5,Gbp2,Klc4,Srgn,Dusp3
,,Car13,,Gm11616,,Olfr1044,3300001P08Rik,Ddx4,Ppp2r2a,Tbxas1,Setx,Nras,,Nuf2,Eme1,Bub1,Gbp6,Man1a,Pcbd1,Prodh
,,Use1,,Apol11a,,H2afx,Pou2af1,Timm23,D2Ertd750e,Araf,Ccng1,2900073G15Rik,,Atad5,Cks2,Pold1,Hlf,Calr,Mdh1,Homer3
,,Ebag9,,Tfrc,,Hist1h2ba,IghmAC38.205.12,Ncf1,Bzw1,Ifitm1,Sep-14,Pgm2,,Rfc4,Bub1b,Cdc25c,Hip1r,Il7r,Gnb2l1,Kif20a
,,Braf,,C1qa,,Atox1,Atp6v0a1,Atp6v1g3,Serbp1,Gm4951,Nub1,Ctbp1,,Zfp651,H2afx,Spag5,Itgb5,Hlf,Nefh,Syce2
,,Ap5m1,,Iglv2,,Gatad2a,Cdk5rap1,5430427O19Rik,Rqcd1,Procr,Vcpip1,Eea1,,Paics,Nde1,Tuba1c,Iigp1,Zak,Gatsl3,Ruvbl2
,,Tm2d2,,Atf5,,F2r,Pdia4,1700042B14Rik,Taf9,Txnip,Enox2,Rlf,,Gabpb2,Kif11,Cdca8,Itsn1,Psap,Tcn2,Dnmt1
,,Zswim3,,F930017D23Rik,,Kcnk2,Ly6c1,Tmcc3,Mcm4,Ly6a,2810453I06Rik,Hdac7a,,Lat2,Tuba8,,Klhl13,Eno2,Lpin1,Atn1
,,Zfp628,,Epb4.2,,Bola2,Sel1l,Tnf,4933407C03Rik,Gimap4,Pebp1,Ccdc38,,Setd3,Ube2c,,Ldhb,Clcn5,Kif3c,Ppp1cc
,,Chm,,Mthfd2,,2410022M11Rik,Cebpe,Mcoln2,Tfdp1,Plag1,Slc35b2,Commd9,,2310022B05Rik,Tpx2,,Letm2,Dnajb11,Nle1,Arhgef40
,,Dip2a,,Serpinf2,,Ckap2,LOC100046350,Ift81,Atp5a1,Zfp187,Etfdh,Zfp12,,Hint1,Cep72,,Mfsd6,Ctse,Pecam1,Arhgef18
,,7530416G11Rik,,Tmcc2,,Pbx1,Ostc,Cdkl3,Cdca3,Lst1,Prim1,A130022J15Rik,,Papola,Cenpp,,Mettl7a1,Ndrg2,Txndc17,Slbp
,,Tmem263,,Nlgn3,,Lphn3,Xbp1,Morf4l2,Cenpn,Ctsb,Tbcc,Ddx46,,Yod1,4931417G12Rik,,Map4k3,Nkg7,Nr1d1,Mtfp1
,,Pcmtd1,,Mmp13,,Tlx2,Mpo,Slc30a4,Hist1h2bc,,Foxn3,2010110K16Rik,,Tubb5,Hist1h2ah,,Mmrn1,Zfp287,Klhl28,Thop1
,,Snx30,,Fbxo30,,Bmp6,Il5ra,1110059E24Rik,Rgs1,,Tmem143,Smek2,,E2f2,Ttc37,,Mpzl1,Igf1r,Ppp2r3c,Mri1
,,Lemd2,,Trim10,,Fras1,Pkn2,Serpinb3d,Polr2i,,Tuba1a,Nadk,,,Zfp882,,Mllt3,Cd247,Psma6,Ndrg1
,,Fam84b,,Gypa,,BC048355,2010001M09Rik,Cdc2l6,Hnrnpk,,2410187C16Rik,Gm1040,,,Add3,,Mylk,Sqrdl,Traf3,Spc25
