Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,Pisd-ps2,,Paqr9,,Olfr1102,,,Ndufaf2,,,,,,,,,Ugcg,,Lypla2
,,Nlrc4,,Cenpe,,Bmp3,,,Esco1,,,,,,,,,Slc44a1,,Kif2c
,,Il15,,Dcaf12,,Spocd1,,,Ybx1,,,,,,,,,Chmp5,,Gm21399
,,Lmbr1,,Olfr248,,Rbm38,,,Rrm2,,,,,,,,,Epb4.1l4b,,Nasp
,,Exoc6b,,Gpr77,,Mrps12,,,Cdk4,,,,,,,,,1700022I11Rik,,Rad54l
,,Gpatch3,,Cd24a,,Psmg4,,,Ddx6,,,,,,,,,Creb3,,Atpaf1
,,A130010J15Rik,,Hpn,,Aplp1,,,Slc38a2,,,,,,,,,Npr2,,Stil
,,Sirt5,,Slc22a4,,Zfp579,,,Atpif1,,,,,,,,,Glipr2,,Ak2
,,Slc39a6,,Mcart1,,Ptgs1,,,Tyms,,,,,,,,,Mllt3,,Stmn1
,,Lck,,Gm12792,,Wfdc16,,,Vps35,,,,,,,,,Nfia,,Cnksr1
,,Hspb7,,Mpp2,,Gpr156,,,Klf4,,,,,,,,,Hivep3,,Cdca8
,,Zfp606,,Amd-ps3,,2310014D11Rik,,,Suclg2,,,,,,,,,Lurap1,,Rpa2
,,Kcnq3,,Gpx1,,Kif11,,,Gmnn,,,,,,,,,Nsun4,,Rcc1
,,BC048546,,Ppm1e,,OTTMUSG00000000469,,,Kif15,,,,,,,,,Pdzk1ip1,,Trnau1ap
,,Ccdc102a,,Nhlrc4,,Zfp46,,,Zbtb11,,,,,,,,,Tinagl1,,Sf3a3
,,Grid2,,Ppm1d,,Ppp1r3a,,,Hp1bp3,,,,,,,,,Tmem50a,,Rheb
,,Armc3,,Gadd45a,,Dbx2,,,Ncbp2,,,,,,,,,Ptpru,,Acap3
,,Hoxa5,,Gm15989,,Gja1,,,Mcm5,,,,,,,,,Fbxo44,,Atad3a
,,Phf13,,Prr11,,Ptms,,,Skil,,,,,,,,,Agtrap,,Rer1
,,Lrp3,,Nid2,,Olfr1123,,,Dek,,,,,,,,,Ccnl2,,Rgs12
,,Prkag2,,Hist1h2ae,,Rfc3,,,Hint1,,,,,,,,,Ttll10,,Ppm1g
,,Il12a,,Tfdp2,,Olfr887,,,Mms19,,,,,,,,,Bst1,,Emilin1
,,Adgrl4,,Cat,,Slc18a2,,,Wdr77,,,,,,,,,Ppargc1a,,Cenpa
,,2010107G23Rik,,Mrap,,Ntn5,,,Usp39,,,,,,,,,Gfi1,,Ppat
,,Adam11,,Icam4,,Aqp1,,,Bub1,,,,,,,,,Gbp9,,Tpst2
,,Mitf,,Stil,,I0C0044D17Rik,,,Cenpm,,,,,,,,,Aff1,,Rfc5
,,Itgax,,Bmp2k,,Cog8,,,Magoh,,,,,,,,,Plac8,,Pf4
,,Sh2d1a,,Treml4,,Sohlh2,,,Cops2,,,,,,,,,St7,,Ran
,,Lrrc1,,Fbxo48,,Tek,,,Senp1,,,,,,,,,Triap1,,Anapc5
,,Mboat4,,Blm,,Slitrk4,,,Stmn1,,,,,,,,,Oasl2,,Cit
,,Jam3,,Clec4a3,,Fshr,,,Fam162a,,,,,,,,,Actb,,Sdsl
,,Syde1,,Kifc1,,Cst13,,,Dut,,,,,,,,,Fscn1,,Ezh2
,,Ccnjl,,Ncapg2,,EG667350,,,Ube2c,,,,,,,,,Glcci1,,Gnb2
,,Nr1d2,,Bub1,,Mycn,,,Ctla2a,,,,,,,,,Pan3,,Lrch4
,,1700109H08Rik,,Atg4d,,Myo5b,,,Tex261,,,,,,,,,Medag,,Mcm7
,,Stc2,,0610010O12Rik,,EG624367,,,2810417H13Rik,,,,,,,,,Herc6,,Gars
,,Appl2,,Slc40a1,,Car1,,,Hnrnpc,,,,,,,,,Luc7l2,,Cbx3
,,Slc6a18,,Abcb4,,Med16,,,Cuta,,,,,,,,,Clec5a,,Ptn
,,Klhdc9,,Mki67,,Skap1,,,Tbrg4,,,,,,,,,Tbxas1,,Zyx
,,Nim1k,,Col5a1,,Ttbk1,,,Cdca8,,,,,,,,,Add2,,Mad2l1
,,Hmga2,,Mtfr1,,Hgfac,,,Bub1b,,,,,,,,,M1ap,,Ino80b
,,Zfp133-ps,,Depdc1b,,6430531B16Rik,,,Mif,,,,,,,,,Frmd4b,,Mogs
,,Slc6a8,,Ccnb1,,Prl2c5,,,Atp5g3,,,,,,,,,Foxp1,,Gp9
,,Wdr19,,Gm2058,,Ficd,,,Crip1,,,,,,,,,ENSMUSG00000030068,,Rpn1
,,Ptpn21,,Rnf10,,ENSMUSG00000063025,,,Srsf10,,,,,,,,,Lrrc23,,Tuba8
,,Itm2a,,Naaladl1,,EG229879  // EG229879,,,,,,,,,,,,Klrd1,,Ybx3
,,Abcb1b,,Gm10722,,Cxx1b,,,,,,,,,,,,Klra13-ps,,Wbp11
,,Usp17la,,Ect2,,Ush1c,,,,,,,,,,,,Plbd1,,Strap
,,P2rx1,,Kif11,,6330407J23Rik,,,,,,,,,,,,Arhgdib,,Golt1b
,,Zfp383,,Depdc1a,,ENSMUSG00000074413,,,,,,,,,,,,Ptpro,,Cd9
,,Pld6,,Slc43a1,,EG383815,,,,,,,,,,,,Ldhb,,Rad51ap1
,,Drc7,,Scamp5,,Glb1l,,,,,,,,,,,,Pglyrp1,,Fkbp4
,,Rsl1,,Slc2a4,,Adk,,,,,,,,,,,,Iqgap1,,Snrpa1
,,Bcl9l,,Hmmr,,AY702102,,,,,,,,,,,,Tyrobp,,Idh2
,,Nfatc2,,Gm20517,,Itga1,,,,,,,,,,,,Pde2a,,Yif1b
,,Bex1,,Rnf123,,Mum1,,,,,,,,,,,,Nucb2,,Fam98c
,,Ranbp17,,Tmem120b,,Uqcr,,,,,,,,,,,,Qprt,,Ddias
,,Sdr42e1,,Fech,,Agrn,,,,,,,,,,,,Sult1a1,,Ndufc2
,,Prkcdbp,,A430105I19Rik,,Rcor3,,,,,,,,,,,,Rabep2,,Ipo5
,,Copz2,,Fzr1,,C030003D03Rik,,,,,,,,,,,,Dgat2,,Kif22
,,Abi3,,Arhgap19,,Lgals12,,,,,,,,,,,,Arhgap17,,Kctd13
,,P2ry2,,Siah1b,,OTTMUSG00000008364,,,,,,,,,,,,Itgal,,Pold3
,,Mdfic,,Pnp2,,Mall,,,,,,,,,,,,Dnhd1,,Psma1
,,Ccser1,,Cep76,,08-Sep,,,,,,,,,,,,Trim30a,,Rgs10
,,Tlr4,,Nusap1,,Gp2,,,,,,,,,,,,Oraov1,,Plk1
,,RP23-451E8.3,,Casc5,,Dmrt1,,,,,,,,,,,,Porcn,,Ndufab1
,,Nkx2-3,,Fam55d,,C330027C09Rik,,,,,,,,,,,,Il2rg,,Rrm1
,,Diras2,,Abcb6,,Stil,,,,,,,,,,,,Mtm1,,Mki67
,,Esr1,,Vangl1,,A430060F13Rik,,,,,,,,,,,,Ap1s2,,Akip1
,,Rhoq,,Gm12856,,Ano2,,,,,,,,,,,,Bgn,,Gata1
,,Nsg2,,Ckap2l,,Hk1,,,,,,,,,,,,Zcchc18,,Rbm3
,,Pglyrp2,,Ccne2,,9430008C03Rik,,,,,,,,,,,,Tsc22d3,,Hmgn5
,,Mras,,Rnf212,,Slc11a1,,,,,,,,,,,,F7,,Rbbp7
,,Lysmd2,,Dnaja4,,Syt10,,,,,,,,,,,,Cd209a,,Haus7
,,Obsl1,,Gm5593,,Insm2,,,,,,,,,,,,Saraf,,Hcfc1
,,Atp9a,,Kcnj2,,2810008M24Rik,,,,,,,,,,,,Ank1,,Irak1
,,Map4k3,,Cdc25b,,OTTMUSG00000002191,,,,,,,,,,,,Galnt7,,Eif4ebp1
,,Zfp619,,Olfml3,,Pex14,,,,,,,,,,,,Irf2,,Orc6
,,Cadps2,,Bcl2a1d,,Spock1,,,,,,,,,,,,Rbl2,,Cenpn
,,Ccdc112,,Lgmn,,4921509C19Rik,,,,,,,,,,,,Aktip,,Jak3
,,Zbtb10,,Gm9430,,Slc22a3,,,,,,,,,,,,Il15,,Gins2
,,Cd4,,Slc25a38,,EG666422,,,,,,,,,,,,Hp,,Lsm4
,,Serpinb9,,Gm7110,,Cpne4,,,,,,,,,,,,Herpud1,,Ces2e
,,0610009L18Rik,,Slc35d3,,5330417C22Rik,,,,,,,,,,,,Usb1,,Panx1
,,Slain1,,Iqcd,,LOC100044428,,,,,,,,,,,,Tpm4,,Aars
,,Thy1,,Ppp1r15a,,LOC674596,,,,,,,,,,,,Cotl1,,Ubash3b
,,Otos,,Yipf4,,Foxm1,,,,,,,,,,,,Dus2,,Rexo2
,,Ddx4,,Sirpb1c,,Rrm1,,,,,,,,,,,,Pla2g15,,Abhd12
,,Nap1l3,,Ccndbp1,,Hoxc10,,,,,,,,,,,,Clmp,,Alg9
,,Phf11d,,Prc1,,Btbd16,,,,,,,,,,,,Ets1,,Nlrx1
,,Tcf7,,Rrm2,,Ndufv1,,,,,,,,,,,,Abcg4,,Robo3
,,Arhgap28,,Gm10818,,Chek2,,,,,,,,,,,,Anxa2,,Pde4a
,,Islr,,Ctse,,Alx4,,,,,,,,,,,,Rora,,Ccnb2
,,8430408G22Rik,,Ms4a7,,Mrpl14,,,,,,,,,,,,Fam46a,,Rp9
,,1500009L16Rik,,Psme3,,4930483J18Rik,,,,,,,,,,,,Neil1,,Kif23
,,,,Cln8,,1810035L17Rik,,,,,,,,,,,,Gsta4,,Csk
,,,,Emr1,,Dpysl4,,,,,,,,,,,,Elovl5,,Rcn2
,,,,Lrp1,,A930038C07Rik,,,,,,,,,,,,Ctsh,,Mb21d1
,,,,Espl1,,1700008O03Rik,,,,,,,,,,,,Trip4,,Dpp8
,,,,U6,,S1pr5,,,,,,,,,,,,Xrn1,,Tipin
,,,,Ccnb2,,Slc29a4,,,,,,,,,,,,Slc25a36,,Atp1b3
,,,,Tmc7,,Col10a1,,,,,,,,,,,,Ngp,,Stt3b
,,,,B230312A22Rik,,Cdk3,,,,,,,,,,,,Trib1,,Smarcc1
,,,,Krt80,,EG546797,,,,,,,,,,,,Cish,,Topbp1
,,,,A230051G13Rik,,Banp,,,,,,,,,,,,Ip6k1,,Bsn
,,,,Gm5434,,Dph1,,,,,,,,,,,,Pygm,,Flcn
,,,,Gtpbp2,,Olfr711,,,,,,,,,,,,Trib3,,Oas3
,,,,Nuf2,,BC048671,,,,,,,,,,,,Bmp8a,,Gtf3c1
,,,,Gm16224,,Pitx1,,,,,,,,,,,,Alas1,,C330027C09Rik
,,,,Rad23a,,ENSMUSG00000074383,,,,,,,,,,,,Srxn1,,Gga1
,,,,Stx11,,H6pd,,,,,,,,,,,,Smap2,,Ttf2
,,,,Pnma1,,Acsl6,,,,,,,,,,,,Fam207a,,Kctd17
,,,,Prdx2,,Nhedc1,,,,,,,,,,,,Rac2,,Mif
,,,,2310003C23Rik,,Cd9,,,,,,,,,,,,Lpp,,Agl
,,,,Car2,,Scarf2,,,,,,,,,,,,Chst2,,Crlf2
,,,,Klf3,,Commd4,,,,,,,,,,,,Upb1,,Gtf2a2
,,,,Gm11428,,Taar7e,,,,,,,,,,,,Igf2bp2,,Reep4
,,,,Ncaph,,Doc2g,,,,,,,,,,,,Ndn,,Mrpl15
,,,,Sh3tc2,,Pmf1,,,,,,,,,,,,Arhgap39,,Aspm
,,,,Evi5,,Lypla1,,,,,,,,,,,,D930015E06Rik,,Ppp3r1
,,,,Aurka,,Oscar,,,,,,,,,,,,Exoc6b,,Fancd2
,,,,Col28a1,,Tasp1,,,,,,,,,,,,Tmem87a,,Lsm3
,,,,Gm12387,,Cblc,,,,,,,,,,,,B3galt2,,Trim59
,,,,Gm15290,,A830039N20Rik,,,,,,,,,,,,Ccp110,,Brip1
,,,,Gm11708,,Gpr77,,,,,,,,,,,,Scaper,,Smc4
,,,,Cenpf,,Olfr812,,,,,,,,,,,,Ypel4,,Trmt5
,,,,Slc14a1,,BC100530,,,,,,,,,,,,Slc25a37,,Gbx2
,,,,Birc5,,Flywch1,,,,,,,,,,,,Setd5,,Itga2b
,,,,Gm16515,,Nppa,,,,,,,,,,,,Ube2f,,Tdg
,,,,Kntc1,,EG213320,,,,,,,,,,,,Tulp4,,Rnps1
,,,,Cmbl,,9530048O09Rik,,,,,,,,,,,,Parp14,,BC030867
,,,,4632434I11Rik,,Aqp12,,,,,,,,,,,,Gbp8,,G6pc3
,,,,Gm10480,,Reep4,,,,,,,,,,,,Cyb561a3,,Tbxa2r
,,,,Cars,,Rab17,,,,,,,,,,,,Caskin2,,Pip5k1c
,,,,Fancd2,,Acot10  // Acot10,,,,,,,,,,,,Kdelc2,,Ncaph
,,,,Aqp1,,Zic2,,,,,,,,,,,,Ccpg1,,Tjp3
,,,,Orc1,,LOC240657,,,,,,,,,,,,Exph5,,Ncapd3
,,,,Bnip3l,,Tnk2,,,,,,,,,,,,Hid1,,Tubg1
,,,,Tspan33,,Tas2r139,,,,,,,,,,,,Ly6d,,Lars2
,,,,Kif24,,Clec2d,,,,,,,,,,,,Ankrd12,,Lsm7
,,,,Kif4,,Krt83,,,,,,,,,,,,Dusp5,,Plekhj1
,,,,Slc22a23,,Tsks,,,,,,,,,,,,Plvap,,Nup37
,,,,Kif14,,Aaas,,,,,,,,,,,,Dpp4,,Parpbp
,,,,SNORA2,,ENSMUSG00000056615,,,,,,,,,,,,Igsf6,,Haus8
,,,,Gm5150,,Lrrc57,,,,,,,,,,,,Ccl5,,Fignl1
,,,,Map2k3,,Cdk4,,,,,,,,,,,,Mitf,,Mbd3
,,,,Ska1,,1190003M12Rik,,,,,,,,,,,,Arl6ip5,,Melk
,,,,Cenpp,,Has1,,,,,,,,,,,,Slfn8,,Wdr18
,,,,Anln,,EG216081,,,,,,,,,,,,Klhl35,,Lppr3
,,,,Arf5,,BC014805,,,,,,,,,,,,Galm,,Lmo1
,,,,Chchd10,,Fbxo10,,,,,,,,,,,,Capn5,,Mgat5
,,,,Gm14198,,Krt13,,,,,,,,,,,,Prpf39,,Macrod1
,,,,Dennd4a,,Sdsl,,,,,,,,,,,,Muc20,,Serbp1
,,,,Mis18bp1,,Ribc2,,,,,,,,,,,,Zcchc7,,Tbcc
,,,,Batf3,,Hmgcs2,,,,,,,,,,,,Prkx,,Fam13b
,,,,Nek2,,Rnf216,,,,,,,,,,,,Tmem161b,,Atp13a2
,,,,Troap,,Slc9a1,,,,,,,,,,,,Fbxw2,,Micall2
,,,,Gm4246,,Tmbim6,,,,,,,,,,,,Gatad2a,,Tubb4b
,,,,Kif18b,,Prr15,,,,,,,,,,,,Lzts1,,Kif15
,,,,Alad,,Tyms,,,,,,,,,,,,C530008M17Rik,,Anln
,,,,Fam109b,,Igsf5,,,,,,,,,,,,Arhgap26,,Rps27l
,,,,Rad51c,,Ncam2,,,,,,,,,,,,Btg1,,Dna2
,,,,Prr15l,,Olfr284,,,,,,,,,,,,Rnf39,,Arhgap33
,,,,Pigq,,Ndufa11,,,,,,,,,,,,Pnpla7,,Nxt1
,,,,Atp8b5,,Poln,,,,,,,,,,,,Phkb,,Rsrp1
,,,,Gpcpd1,,Cyp2u1,,,,,,,,,,,,Arhgef26,,Tacc3
,,,,Slc45a3,,Tenc1,,,,,,,,,,,,Elac1,,Endod1
,,,,Endod1,,Krtap31-2,,,,,,,,,,,,Tenc1,,Dtl
,,,,Dlgap5,,Nlrp4b,,,,,,,,,,,,Apbb1,,Mcrs1
,,,,Tubb2a,,Bhmt2,,,,,,,,,,,,Rab11fip3,,Wdhd1
,,,,C330027C09Rik,,4930431F12Rik,,,,,,,,,,,,Zcwpw1,,Nme1
,,,,Rfc5,,EG406223,,,,,,,,,,,,Ralgapa2,,Cdkn3
,,,,Daam1,,C9,,,,,,,,,,,,Prf1,,Ckap2
,,,,Cdkn3,,Adcy9,,,,,,,,,,,,Islr,,H2afz
,,,,Fbxo5,,EG623114,,,,,,,,,,,,Traf3ip3,,Ankrd13b
,,,,Gm4459,,Ascl1,,,,,,,,,,,,Paqr7,,Ndufv1
,,,,Spag5,,Atp5g2,,,,,,,,,,,,Nudt22,,Scarb1
,,,,Pltp,,Sgtb,,,,,,,,,,,,Letm2,,2700029M09Rik
,,,,Fn3krp,,Kif15,,,,,,,,,,,,Tulp1,,Ncapd2
,,,,Memo1,,Nxph2,,,,,,,,,,,,Arid5a,,Ttk
,,,,Tpx2,,EG436003,,,,,,,,,,,,Osbpl5,,Usp5
,,,,Slc16a11,,Ppil4,,,,,,,,,,,,Zfp60,,Uqcrfs1
,,,,2310042D19Rik,,Bmp2k,,,,,,,,,,,,Ddhd1,,Tfdp1
,,,,Mcm6,,Adam34,,,,,,,,,,,,Ppp1r16b,,Rpf2
,,,,Lrrc8b,,Gstk1,,,,,,,,,,,,Tgm2,,Reep2
,,,,Brca1,,V1rb3,,,,,,,,,,,,Tspan14,,Med30
,,,,Kif2c,,Prg3,,,,,,,,,,,,Sirpa,,Pold1
,,,,Plek,,BC046404,,,,,,,,,,,,Ddx60,,Mrps34
,,,,Smap1,,Acsm3,,,,,,,,,,,,Ccr7,,Rccd1
,,,,Gm13831,,Lsm2,,,,,,,,,,,,Mturn,,Prc1
,,,,Top2a,,Aldh2,,,,,,,,,,,,Cnbd2,,Adk
,,,,Spp1,,Fam131a,,,,,,,,,,,,Tbc1d32,,Pomt1
,,,,Melk,,Ywhah,,,,,,,,,,,,Notch3,,Cdk5rap2
,,,,Fignl1,,Kcnj10,,,,,,,,,,,,Cd84,,Rftn1
,,,,Gypc,,LOC636082,,,,,,,,,,,,Spon1,,Hlx
,,,,Plk1,,Gtrgeo22,,,,,,,,,,,,Sesn1,,Neil3
,,,,Asf1b,,Mif,,,,,,,,,,,,Camp,,Stub1
,,,,Clgn,,Fam71a,,,,,,,,,,,,Fcrla,,Mrpl12
,,,,Gtse1,,EG668059,,,,,,,,,,,,C1rl,,Nploc4
,,,,Slco2b1,,BC051019,,,,,,,,,,,,Dock10,,Exo1
,,,,Ptdss2,,Fgfr2,,,,,,,,,,,,Ctss,,Xkr5
,,,,Slc11a1,,Fbxo40,,,,,,,,,,,,Ric1,,Trub2
,,,,Mafb,,Npy,,,,,,,,,,,,Trps1,,Timeless
,,,,Pla2g12a,,Rab40b,,,,,,,,,,,,Hoxb5,,Slc7a5
,,,,Mmrn2,,Ccdc64b,,,,,,,,,,,,Ephx1,,Ythdf2
,,,,Cdc25c,,B230307C23Rik,,,,,,,,,,,,Cpq,,Nup43
,,,,Btnl9,,Nat6,,,,,,,,,,,,Rsad1,,Bub1b
,,,,Ccnf,,Ankrd43,,,,,,,,,,,,F13a1,,2810417H13Rik
,,,,1300015D01Rik,,2810410L24Rik,,,,,,,,,,,,Itga9,,Mrps28
,,,,Polq,,Il17d,,,,,,,,,,,,Fam102a,,Cdk6
,,,,Ppp2r5b,,Nhs,,,,,,,,,,,,Akap7,,Cchcr1
,,,,Gm15697,,4930518I15Rik,,,,,,,,,,,,Abhd2,,Mybbp1a
,,,,Adipor1,,Ankrd35,,,,,,,,,,,,Tbce,,Dgkz
,,,,Afmid,,Gbx1,,,,,,,,,,,,Gimap3,,Dnph1
,,,,Kpna2,,EG382450,,,,,,,,,,,,Fndc3b,,Hmgn1
,,,,D1Ertd622e,,Alg8,,,,,,,,,,,,Ndst2,,Eif4h
,,,,Sox6,,EG625347,,,,,,,,,,,,Dse,,Rcc2
,,,,Hells,,Leprotl1,,,,,,,,,,,,Znfx1,,Pif1
,,,,Jhdm1d,,Olfr670,,,,,,,,,,,,Zmynd8,,H2afv
,,,,Cdca8,,EG621842,,,,,,,,,,,,Rere,,Zfp598
,,,,Snx15,,EG236622,,,,,,,,,,,,Pik3cd,,Lonp1
,,,,Kif18a,,EG665936,,,,,,,,,,,,Zc3h12d,,Ccnb1
,,,,Otud5,,Eml1,,,,,,,,,,,,Dtx4,,Cep78
,,,,Aknad1,,Dtymk,,,,,,,,,,,,Ginm1,,Kif14
,,,,Gm10643,,Relb,,,,,,,,,,,,Stat2,,Rnf123
,,,,Steap3,,Mia2,,,,,,,,,,,,Tax1bp3,,Fam104a
,,,,Spc25,,1110006G06Rik,,,,,,,,,,,,Lrp1,,Gcn1l1
,,,,Slc13a3,,Olfr835,,,,,,,,,,,,Bach2,,Slc39a11
,,,,Slc6a20a,,Larp6,,,,,,,,,,,,Ctsg,,Alg13
,,,,Tmem51,,Gpr143,,,,,,,,,,,,Trim41,,Mcm3
,,,,9830144P21Rik,,Agxt2l1,,,,,,,,,,,,Lyrm5,,Spidr
,,,,Zfp750,,Asb12,,,,,,,,,,,,Sgms1,,Ncapg2
,,,,Ube2b,,Dmrt2,,,,,,,,,,,,Arglu1,,Arsb
,,,,Prdx2-rs3,,Lgtn,,,,,,,,,,,,Milr1,,Nxt2
,,,,Bsg,,Mylk4,,,,,,,,,,,,Apobec1,,Gnl3
,,,,Ppp2r1b,,Olfr1113,,,,,,,,,,,,Fam208a,,Dctpp1
,,,,Gna14,,Mospd4,,,,,,,,,,,,Clcf1,,Hirip3
,,,,Eme1,,LOC100039801,,,,,,,,,,,,St8sia4,,Tuba1c
,,,,Cdca3,,Prl6a1,,,,,,,,,,,,Erg,,Fem1a
,,,,Dennd2c,,EG665751,,,,,,,,,,,,Rnf167,,Ptpn11
,,,,Tom1l1,,Bub3,,,,,,,,,,,,Cd53,,Nup62
,,,,Gpr155,,Chchd5  // Chchd5,,,,,,,,,,,,ENSMUSG00000040840,,Mgat2
,,,,Hspbap1,,Itga2b,,,,,,,,,,,,Ino80d,,Trmt10c
,,,,Ccne1,,Olfr1155,,,,,,,,,,,,Kcnd3,,Hjurp
,,,,Oip5,,Krt17,,,,,,,,,,,,Atp1a3,,Zfp444
,,,,Mxd3,,Ndufb3,,,,,,,,,,,,Rfx3,,H1fx
,,,,Nsl1,,Pla2g12b,,,,,,,,,,,,Phf8,,Tst
,,,,E2f4,,EG665957,,,,,,,,,,,,Uspl1,,AI467606
,,,,Dcn,,Romo1,,,,,,,,,,,,5930430L01Rik,,Med26
,,,,Kif20a,,Tsp50,,,,,,,,,,,,Cldn5,,Fahd1
,,,,Pbk,,Gfra4,,,,,,,,,,,,Pik3r1,,Cenpe
,,,,Isca1,,Gale,,,,,,,,,,,,ENSMUSG00000041481,,Sh2d5
,,,,Fam5b,,LOC629364,,,,,,,,,,,,Irf8,,Sdpr
,,,,Ctps,,Sfxn2,,,,,,,,,,,,Lrrc18,,C2cd2
,,,,E2f7,,Cenpf,,,,,,,,,,,,Fcho2,,Ppp1r15b
,,,,1190007F08Rik,,Iqcd,,,,,,,,,,,,Dstyk,,Scand1
,,,,Gm12870,,EG236749,,,,,,,,,,,,Abhd14b,,Ankle1
,,,,Lrr1,,Gpr39,,,,,,,,,,,,Rassf4,,Ngfrap1
,,,,Serpine2,,Cyp4x1,,,,,,,,,,,,Kdm5b,,Zfp526
,,,,Ammecr1,,U2af1,,,,,,,,,,,,Sgsm1,,Ticrr
,,,,Racgap1,,K230010J24Rik,,,,,,,,,,,,Ikbke,,Chtf8
,,,,Pif1,,OTTMUSG00000003802,,,,,,,,,,,,Snx18,,Emc6
,,,,Pdcd1,,Bat1a,,,,,,,,,,,,Ago4,,Neurl4
,,,,Gm12178,,Fthl17,,,,,,,,,,,,Dmtf1,,Mis18bp1
,,,,Gm13176,,Uroc1,,,,,,,,,,,,Atxn2,,Gp5
,,,,Slc43a3,,Vcl,,,,,,,,,,,,Alkbh5,,Timm8a1
,,,,Recql4,,Hoxa11,,,,,,,,,,,,Rnf214,,Ckap2l
,,,,Dpep2,,Ncapd2,,,,,,,,,,,,D17H6S53E,,F2r
,,,,Synpo2,,Dmd,,,,,,,,,,,,Gimap5,,Mlec
,,,,Ace,,Etnk2,,,,,,,,,,,,Zc2hc1a,,Cdca2
,,,,Tlr8,,Eif3k,,,,,,,,,,,,Zfp3,,Ogfr
,,,,Cdc6,,Sfmbt1,,,,,,,,,,,,Tnip3,,Hist1h1a
,,,,Gabarapl2,,EG433481,,,,,,,,,,,,Zfp612,,Zfpm1
,,,,Ibtk,,Olfr790,,,,,,,,,,,,Slc38a6,,Zbtb45
,,,,1700063H04Rik,,Gm414,,,,,,,,,,,,Zfp36,,Urgcp
,,,,Gm13676,,Galr1,,,,,,,,,,,,Isca1,,Ndufaf6
,,,,2010109K11Rik,,Plac1,,,,,,,,,,,,Zfp354c,,Rltpr
,,,,Smc2,,Lancl2,,,,,,,,,,,,ENSMUSG00000044867,,Ubald2
,,,,Kif22,,Aox4,,,,,,,,,,,,Rnf216,,Gp1ba
,,,,Mgll,,Clec4f,,,,,,,,,,,,Cirbp,,Gp1bb
,,,,Glrx5,,Gdf6,,,,,,,,,,,,Insig1,,Tmem123
,,,,Mgst3,,Sh3glb2,,,,,,,,,,,,Zfp560,,Ercc6l
,,,,Gm16465,,Ssr1,,,,,,,,,,,,Pid1,,Gen1
,,,,Atad2,,Tmem28,,,,,,,,,,,,Pqlc3,,Kif18b
,,,,Fanci,,Asl,,,,,,,,,,,,Serpinb9,,Ywhag
,,,,Bub1b,,Cenpn,,,,,,,,,,,,6330416G13Rik,,Hist1h1e
,,,,Sirpb1b,,Nfkbie,,,,,,,,,,,,Pik3r6,,Cox6b2
,,,,Emr4,,Hist1h2be,,,,,,,,,,,,Usp27x,,Ppp6r1
,,,,Eif5,,Aacs,,,,,,,,,,,,Ermp1,,Hist1h1d
,,,,Il1r1,,BC062109,,,,,,,,,,,,Camk2n1,,Rap1b
,,,,Ercc6l,,1700024B05Rik,,,,,,,,,,,,Tifa,,Sae1
,,,,Olfr56,,ENSMUSG00000037438,,,,,,,,,,,,Slitrk4,,Uba2
,,,,Cadm3,,Dnaic2,,,,,,,,,,,,Fam83h,,Rnf26
,,,,Mrm1,,Osr2,,,,,,,,,,,,Mpeg1,,Styx
,,,,Trip13,,Bola3,,,,,,,,,,,,Gchfr,,Sec61b
,,,,Gm6768,,Ankrd9,,,,,,,,,,,,Nipa1,,Grwd1
,,,,Shcbp1,,Hmgb3,,,,,,,,,,,,Cd24a,,Pde5a
,,,,1700102P08Rik,,4930412F15Rik,,,,,,,,,,,,Gm973,,Zfp771
,,,,Fam59a,,Prox1,,,,,,,,,,,,Zbtb44,,Hmgb2
,,,,Pip5k1b,,Moxd1,,,,,,,,,,,,Flrt1,,Actn4
,,,,Gzmb,,Pigl,,,,,,,,,,,,Gimap6,,Fam73a
,,,,Tnfrsf14,,Thap3,,,,,,,,,,,,Arid4a,,Cdca7
,,,,Scrn3,,Ccdc103,,,,,,,,,,,,Kmt2d,,Cnot10
,,,,Ncapd3,,Tssk3,,,,,,,,,,,,Crebrf,,Tyw1
,,,,Parm1,,Helt,,,,,,,,,,,,Cxcr6,,Lig1
,,,,Gm20633,,Cap2,,,,,,,,,,,,Amica1,,Prelid2
,,,,Acsl1,,Olfr668,,,,,,,,,,,,Hoxb3,,Setd3
,,,,Ppox,,Ldlrad1,,,,,,,,,,,,Lonrf2,,Rbbp4
,,,,Gm14639,,Zwilch,,,,,,,,,,,,Gm12185,,Dtnbp1
,,,,Ppap2a,,Zfp518b,,,,,,,,,,,,Hexim1,,Abat
,,,,Cadm1,,Car4,,,,,,,,,,,,Ccr2,,Sep-11
,,,,Fam53b,,Yipf1,,,,,,,,,,,,C5ar1,,Espl1
,,,,Rrm1,,Hist1h1b,,,,,,,,,,,,Sorl1,,Upf1
,,,,P2ry12,,EG231836,,,,,,,,,,,,Smcr8,,Rrp1b
